algorithm,dataset,size,seed,repetition,runtime_ns,comparisons,writes,partition_calls,max_recursion_depth,peak_mem_bytes,correct,error
builtin_sorted,random,1000,1,0,4974300,8625,0,0,0,122996,True,
builtin_sorted,random,1000,1,1,5175000,8625,0,0,0,122852,True,
builtin_sorted,random,1000,1,2,4677800,8625,0,0,0,122820,True,
builtin_sorted,random,1000,1,3,5933800,8625,0,0,0,122772,True,
builtin_sorted,random,1000,1,4,6757400,8625,0,0,0,122740,True,
builtin_sorted,random,1000,2,0,5625900,8636,0,0,0,122708,True,
builtin_sorted,random,1000,2,1,7477800,8636,0,0,0,122676,True,
builtin_sorted,random,1000,2,2,7793400,8636,0,0,0,122628,True,
builtin_sorted,random,1000,2,3,5525900,8636,0,0,0,122596,True,
builtin_sorted,random,1000,2,4,5589200,8636,0,0,0,122564,True,
builtin_sorted,random,1000,3,0,7453200,8640,0,0,0,122532,True,
builtin_sorted,random,1000,3,1,8594700,8640,0,0,0,122484,True,
builtin_sorted,random,1000,3,2,5052300,8640,0,0,0,122460,True,
builtin_sorted,random,1000,3,3,4757700,8640,0,0,0,122444,True,
builtin_sorted,random,1000,3,4,5091300,8640,0,0,0,122444,True,
builtin_sorted,random,5000,1,0,31601100,54907,0,0,0,604492,True,
builtin_sorted,random,5000,1,1,31474600,54907,0,0,0,604492,True,
builtin_sorted,random,5000,1,2,31604800,54907,0,0,0,604492,True,
builtin_sorted,random,5000,1,3,31746100,54907,0,0,0,604492,True,
builtin_sorted,random,5000,1,4,33631900,54907,0,0,0,604492,True,
builtin_sorted,random,5000,2,0,31353500,54910,0,0,0,604492,True,
builtin_sorted,random,5000,2,1,37729700,54910,0,0,0,604492,True,
builtin_sorted,random,5000,2,2,30458900,54910,0,0,0,604492,True,
builtin_sorted,random,5000,2,3,32184300,54910,0,0,0,604492,True,
builtin_sorted,random,5000,2,4,30156800,54910,0,0,0,604492,True,
builtin_sorted,random,5000,3,0,30124600,54863,0,0,0,604492,True,
builtin_sorted,random,5000,3,1,31805600,54863,0,0,0,604492,True,
builtin_sorted,random,5000,3,2,32427500,54863,0,0,0,604780,True,
builtin_sorted,random,5000,3,3,29985400,54863,0,0,0,604492,True,
builtin_sorted,random,5000,3,4,31330800,54863,0,0,0,604492,True,
builtin_sorted,random,10000,1,0,65140100,119820,0,0,0,1211084,True,
builtin_sorted,random,10000,1,1,68126200,119820,0,0,0,1211084,True,
builtin_sorted,random,10000,1,2,66013900,119820,0,0,0,1211084,True,
builtin_sorted,random,10000,1,3,71272900,119820,0,0,0,1211084,True,
builtin_sorted,random,10000,1,4,68166400,119820,0,0,0,1211084,True,
builtin_sorted,random,10000,2,0,69935800,119789,0,0,0,1211088,True,
builtin_sorted,random,10000,2,1,65694300,119789,0,0,0,1211084,True,
builtin_sorted,random,10000,2,2,68098100,119789,0,0,0,1211084,True,
builtin_sorted,random,10000,2,3,66109000,119789,0,0,0,1211372,True,
builtin_sorted,random,10000,2,4,65968500,119789,0,0,0,1211084,True,
builtin_sorted,random,10000,3,0,65283400,119817,0,0,0,1211084,True,
builtin_sorted,random,10000,3,1,66311800,119817,0,0,0,1211084,True,
builtin_sorted,random,10000,3,2,67349800,119817,0,0,0,1211084,True,
builtin_sorted,random,10000,3,3,66539100,119817,0,0,0,1211084,True,
builtin_sorted,random,10000,3,4,65319100,119817,0,0,0,1211084,True,
builtin_sorted,reverse,1000,1,0,435000,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,1,1,456700,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,1,2,441600,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,1,3,482200,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,1,4,462100,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,2,0,431300,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,2,1,484700,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,2,2,460300,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,2,3,443100,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,2,4,445400,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,3,0,450500,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,3,1,436500,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,3,2,772900,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,3,3,463100,999,0,0,0,122444,True,
builtin_sorted,reverse,1000,3,4,445200,999,0,0,0,122444,True,
builtin_sorted,reverse,5000,1,0,2900700,4999,0,0,0,604492,True,
